,particle_id,hit num1,hit num2,hit num3,hit num4,hit num5,hit num6,hit num7,hit num8,hit num9,hit num10,hit num11,hit num12,hit num13,hit num14,hit num15,hit num16,hit num17,hit num18,hit num19
0,4.098335446851912e+17,"[-68.8784, 2.07726, -1502.5]","[-68.6238, 2.06553, -1497.5]","[-59.7089, 0.993358, -1302.5]","[-59.4959, 0.996064, -1297.5]","[-50.4546, 0.267199, -1102.5]","[-50.1911, 0.213606, -1097.5]","[-44.0037, -0.178037, -962.5]","[-43.7905, -0.189821, -957.5]","[-37.5358, -0.421322, -822.5]","[-37.3225, -0.398786, -818.0]","[-37.3182, -0.398278, -817.5]","[-31.9973, -0.53419, -702.5]","[-31.7996, -0.512629, -698.0]","[-31.7991, -0.531709, -697.5]",,,,,
1,4.503635361498399e+17,"[-91.9878, -10.5247, -1502.5]","[-79.8805, -8.56876, -1302.5]","[-67.7315, -6.75999, -1102.5]","[-59.2471, -5.59071, -962.5]","[-58.9587, -5.54176, -958.0]","[-50.6988, -4.5167, -822.5]","[-50.4105, -4.46651, -818.0]","[-43.3763, -3.63948, -702.5]","[-43.1205, -3.59047, -698.0]","[-43.1, -3.60452, -697.5]","[-37.2757, -3.00889, -602.5]","[-36.9557, -2.96169, -597.5]",,,,,,,
2,2.56711500951978e+17,"[-54.7437, -6.89138, -1502.5]","[-54.5734, -6.85429, -1498.0]","[-47.5126, -5.56996, -1302.5]","[-47.3579, -5.58479, -1298.0]","[-40.2699, -4.3949, -1102.5]","[-40.1307, -4.3639, -1098.0]","[-40.1111, -4.3413, -1097.5]","[-35.2542, -3.60212, -962.5]","[-35.0667, -3.61093, -958.0]","[-35.0537, -3.58577, -957.5]","[-30.1748, -2.90143, -822.5]",,,,,,,,
3,2.5671143223250125e+17,"[-56.5499, -6.88307, -1502.5]","[-56.3962, -6.88054, -1498.0]","[-49.0031, -5.9882, -1302.5]","[-48.8464, -5.99356, -1298.0]","[-41.4961, -5.09646, -1102.5]","[-41.3104, -5.10991, -1098.0]","[-41.2994, -5.10041, -1097.5]","[-36.2008, -4.47909, -962.5]","[-36.0569, -4.4657, -958.0]","[-36.0019, -4.46409, -957.5]","[-30.9453, -3.86485, -822.5]","[-30.7754, -3.81478, -818.0]","[-30.7604, -3.82335, -817.5]",,,,,,
4,4.503633987108864e+16,"[-55.0047, -11.3255, -1502.5]","[-54.8276, -11.3375, -1498.0]","[-47.6538, -10.1451, -1302.5]","[-47.4793, -10.139, -1298.0]","[-40.257, -8.86084, -1102.5]","[-40.0687, -8.82262, -1098.0]","[-40.2253, -8.84159, -1102.0]","[-35.0562, -7.89983, -962.5]","[-34.9, -7.83883, -958.0]","[-35.0233, -7.87747, -962.0]","[-29.9209, -6.84366, -822.5]","[-29.7666, -6.81209, -818.0]","[-29.9115, -6.84249, -822.0]",,,,,,
5,6.890552097536737e+17,"[-65.3968, -2.01218, -1502.5]","[-65.1499, -2.01962, -1497.5]","[-56.6226, -2.37488, -1302.5]","[-56.3974, -2.35738, -1297.5]","[-47.9201, -2.54261, -1102.5]","[-47.6995, -2.54037, -1097.5]","[-41.831, -2.51477, -962.5]","[-41.6718, -2.5228, -958.0]","[-41.6534, -2.51466, -957.5]","[-35.7448, -2.38686, -822.5]","[-35.5706, -2.39496, -818.0]","[-35.5567, -2.39263, -817.5]","[-30.5101, -2.22565, -702.5]","[-30.3482, -2.22101, -698.0]","[-30.2945, -2.20492, -697.5]",,,,
6,2.3869799579569357e+17,"[-61.3469, -11.1727, -1502.5]","[-61.1746, -11.1644, -1498.0]","[-53.0828, -10.3216, -1302.5]","[-52.8867, -10.3059, -1298.0]","[-44.8514, -9.27258, -1102.5]","[-44.6525, -9.25463, -1098.0]","[-39.0762, -8.41683, -962.5]","[-38.8768, -8.3822, -958.0]","[-39.0629, -8.41421, -962.0]","[-33.3404, -7.46387, -822.5]","[-33.1497, -7.41862, -818.0]","[-33.3166, -7.44113, -822.0]",,,,,,,
7,2.252844349731635e+16,"[-91.1974, -11.917, -1502.5]","[-78.8483, -11.0454, -1302.5]","[-78.5638, -11.0198, -1298.0]","[-66.5715, -10.0291, -1102.5]","[-66.2856, -9.97467, -1098.0]","[-57.9553, -9.10017, -962.5]","[-57.6807, -9.0915, -958.0]","[-49.3412, -8.1213, -822.5]","[-49.0497, -8.0992, -818.0]","[-42.0284, -7.14453, -702.5]","[-41.7372, -7.11494, -698.0]","[-35.9475, -6.31488, -602.5]","[-35.6797, -6.27772, -598.0]",,,,,,
8,3.1526365622697984e+16,"[-62.2088, -11.6919, -1502.5]","[-62.0461, -11.6307, -1498.0]","[-53.9958, -9.94211, -1302.5]","[-53.7833, -9.90412, -1298.0]","[-45.7227, -8.23776, -1102.5]","[-45.5584, -8.18659, -1098.0]","[-39.9457, -7.08093, -962.5]","[-39.7825, -7.01904, -958.0]","[-34.1687, -5.9241, -822.5]","[-33.9725, -5.91926, -818.0]",,,,,,,,,
9,7.2958609457152e+17,"[-60.2242, -4.91529, -1502.5]","[-77.7104, -4.53607, -1302.5]","[-95.2218, -4.45976, -1102.5]","[-83.474, -4.38782, -962.5]","[-71.3158, -4.23342, -822.5]","[-60.9024, -3.91542, -702.5]","[-52.1675, -3.6292, -602.5]","[-51.7308, -3.57728, -597.5]",,,,,,,,,,,
