,particle_id,hit num1,hit num2,hit num3,hit num4,hit num5,hit num6,hit num7,hit num8,hit num9,hit num10,hit num11,hit num12,hit num13,hit num14,hit num15,hit num16,hit num17,hit num18,hit num19
0,2.1167536723931955e+17,"[-95.1049, -11.2214, -1502.5]","[-82.3406, -10.1166, -1302.5]","[-69.5334, -8.95814, -1102.5]","[-69.2305, -8.93337, -1098.0]","[-60.592, -8.05382, -962.5]","[-60.3151, -7.9979, -958.0]","[-51.6842, -7.05183, -822.5]","[-51.4097, -7.02033, -818.0]","[-44.1374, -6.15696, -702.5]","[-43.8471, -6.13029, -698.0]","[-37.8242, -5.35918, -602.5]","[-37.5263, -5.33269, -598.0]","[-37.496, -5.34959, -597.5]",,,,,,
1,6.89056171826348e+17,"[-54.8981, -9.61188, -1502.5]","[-54.7322, -9.56629, -1498.0]","[-47.645, -8.18843, -1302.5]","[-47.497, -8.1378, -1298.0]","[-40.4179, -6.81716, -1102.5]","[-40.2501, -6.75793, -1098.0]","[-35.302, -5.86283, -962.5]","[-35.1481, -5.84156, -958.0]","[-30.1821, -4.95835, -822.5]","[-30.046, -4.92519, -818.0]",,,,,,,,,
2,7.295833457924506e+17,"[-58.0084, 3.08322, -1502.5]","[-57.8092, 3.07012, -1497.5]","[-50.2543, 2.74054, -1302.5]","[-50.0471, 2.76016, -1297.5]","[-42.5534, 2.39368, -1102.5]","[-42.5076, 2.41493, -1102.0]","[-42.345, 2.40476, -1097.5]","[-37.1393, 2.11761, -962.5]","[-37.1328, 2.15296, -962.0]","[-36.9499, 2.13062, -957.5]","[-31.7368, 1.89079, -822.5]","[-31.7162, 1.88097, -822.0]","[-31.5547, 1.85648, -817.5]",,,,,,
3,6.980591104735314e+17,"[-97.2984, -8.18418, -1502.5]","[-84.2859, -7.91239, -1302.5]","[-71.2632, -7.33887, -1102.5]","[-62.1446, -6.77169, -962.5]","[-61.8525, -6.75069, -958.0]","[-53.0388, -6.1052, -822.5]","[-45.2481, -5.49205, -702.5]","[-44.9556, -5.47084, -698.0]","[-38.7406, -4.87959, -602.5]","[-38.4483, -4.86584, -598.0]","[-38.4041, -4.87688, -597.5]",,,,,,,,
5,9017163578867712.0,"[-81.5702, -10.1562, -1502.5]","[-70.8977, -8.11258, -1302.5]","[-60.1167, -6.36131, -1102.5]","[-59.8512, -6.32073, -1098.0]","[-52.5622, -5.21506, -962.5]","[-52.3142, -5.18064, -958.0]","[-44.9711, -4.16624, -822.5]","[-44.7005, -4.12406, -818.0]","[-44.702, -4.13045, -817.5]","[-38.4337, -3.3508, -702.5]","[-38.1923, -3.28149, -698.0]","[-38.1665, -3.29064, -697.5]","[-32.9578, -2.66907, -602.5]","[-32.7234, -2.68841, -598.0]","[-32.7007, -2.66755, -597.5]",,,,
6,5.989830110478336e+17,"[-62.6906, -1.98562, -1502.5]","[-62.4947, -1.97782, -1497.5]","[-54.3913, -2.04881, -1302.5]","[-54.1522, -2.08269, -1297.5]","[-46.041, -2.04363, -1102.5]","[-45.838, -2.03487, -1097.5]","[-40.1815, -1.93357, -962.5]","[-40.0113, -1.96988, -958.0]","[-39.9789, -1.94428, -957.5]","[-34.3782, -1.82792, -822.5]","[-34.2069, -1.81046, -818.0]","[-34.1569, -1.80063, -817.5]",,,,,,,
7,8.872152426254172e+17,"[-63.817, -10.6147, -1502.5]","[-63.6309, -10.5714, -1498.0]","[-55.2126, -9.53633, -1302.5]","[-55.0407, -9.48609, -1298.0]","[-46.7282, -8.36704, -1102.5]","[-46.5168, -8.36527, -1098.0]","[-40.7594, -7.49605, -962.5]","[-40.5476, -7.4464, -958.0]","[-34.7944, -6.52505, -822.5]","[-34.5785, -6.52754, -818.0]","[-34.7477, -6.51856, -822.0]",,,,,,,,
8,1.8915462032339763e+17,"[-85.3541, -7.24414, -1502.5]","[-74.2173, -5.36456, -1302.5]","[-62.9408, -3.82507, -1102.5]","[-55.0054, -2.84946, -962.5]","[-54.7197, -2.8405, -957.5]","[-47.1103, -2.07764, -822.5]","[-46.8152, -2.05827, -817.5]","[-40.3251, -1.54363, -702.5]","[-40.0616, -1.51918, -698.0]","[-40.0536, -1.53717, -697.5]","[-34.6574, -1.14773, -602.5]","[-34.425, -1.14293, -598.0]","[-34.3853, -1.13064, -597.5]",,,,,,
9,8.556844789562081e+17,"[-69.8409, -6.62508, -1502.5]","[-60.4388, -6.93836, -1302.5]","[-60.2254, -6.92569, -1298.0]","[-51.0113, -6.99887, -1102.5]","[-50.7847, -6.97312, -1098.0]","[-44.4302, -6.7317, -962.5]","[-44.1912, -6.72711, -958.0]","[-37.8399, -6.26319, -822.5]","[-37.6273, -6.28251, -818.0]","[-32.1577, -5.66553, -702.5]","[-31.9567, -5.64101, -698.0]","[-31.9197, -5.64876, -697.5]",,,,,,,
10,7.385970046780047e+17,"[-83.2818, -13.5008, -1502.5]","[-83.0072, -13.475, -1498.0]","[-72.1254, -11.8705, -1302.5]","[-71.8893, -11.8342, -1298.0]","[-61.0289, -10.1947, -1102.5]","[-60.7831, -10.1448, -1098.0]","[-53.2813, -8.9831, -962.5]","[-53.0286, -8.95161, -958.0]","[-45.5092, -7.76956, -822.5]","[-45.2726, -7.75803, -818.0]","[-38.8438, -6.74344, -702.5]","[-38.5831, -6.71399, -698.0]","[-33.3314, -5.80806, -602.5]","[-33.074, -5.8064, -598.0]","[-33.06, -5.79902, -597.5]",,,,
