,particle_id,hit num1,hit num2,hit num3,hit num4,hit num5,hit num6,hit num7,hit num8,hit num9,hit num10,hit num11,hit num12,hit num13,hit num14,hit num15,hit num16,hit num17,hit num18,hit num19
0,3.242622655471288e+17,"[-69.2717, -0.812497, -1502.5]","[-69.0607, -0.80905, -1497.5]","[-60.0527, -1.09004, -1302.5]","[-59.8135, -1.08543, -1297.5]","[-50.7855, -1.26348, -1102.5]","[-50.5892, -1.2597, -1097.5]","[-44.3497, -1.30867, -962.5]","[-44.105, -1.31862, -957.5]","[-37.8646, -1.26189, -822.5]","[-37.6397, -1.24624, -818.0]","[-37.6131, -1.27785, -817.5]","[-32.3387, -1.21601, -702.5]","[-32.1236, -1.20746, -698.0]","[-32.0926, -1.21078, -697.5]",,,,,
1,4.504403645248307e+16,"[-73.309, -8.30235, -1502.5]","[-63.7421, -6.64664, -1302.5]","[-63.5335, -6.64006, -1298.0]","[-54.1021, -5.23594, -1102.5]","[-53.8727, -5.19486, -1098.0]","[-47.3303, -4.30175, -962.5]","[-47.1027, -4.23801, -958.0]","[-47.0758, -4.24456, -957.5]","[-40.5164, -3.4144, -822.5]","[-40.2978, -3.42702, -818.0]","[-40.2648, -3.42642, -817.5]","[-34.689, -2.75516, -702.5]","[-34.4577, -2.69341, -698.0]","[-34.4509, -2.68028, -697.5]",,,,,
2,9.908063491116237e+16,"[-63.8168, -5.59927, -1502.5]","[-55.352, -4.18075, -1302.5]","[-46.7593, -2.9528, -1102.5]","[-46.6055, -2.93595, -1098.0]","[-46.5454, -2.93213, -1097.5]","[-40.7901, -2.28239, -962.5]","[-40.6086, -2.26754, -958.0]","[-40.5671, -2.24907, -957.5]","[-34.8425, -1.66384, -822.5]","[-34.6481, -1.65929, -818.0]","[-34.6379, -1.66247, -817.5]",,,,,,,,
3,3.6028886354283725e+17,"[-72.1258, -9.71387, -1502.5]","[-71.8873, -9.67404, -1498.0]","[-62.5788, -7.95942, -1302.5]","[-62.3629, -7.90164, -1298.0]","[-52.9806, -6.35139, -1102.5]","[-52.7918, -6.32372, -1098.0]","[-46.2946, -5.27349, -962.5]","[-46.1024, -5.23196, -958.0]","[-39.6007, -4.29528, -822.5]","[-39.3904, -4.289, -818.0]","[-39.3722, -4.27292, -817.5]","[-33.8483, -3.54163, -702.5]","[-33.6226, -3.52133, -698.0]","[-33.5908, -3.50028, -697.5]",,,,,
4,1.7564292808808858e+17,"[-93.4875, -0.685854, -1502.5]","[-93.2028, -0.714599, -1497.5]","[-81.0427, -1.08689, -1302.5]","[-80.7523, -1.09262, -1297.5]","[-68.6518, -1.31542, -1102.5]","[-68.3309, -1.31788, -1097.5]","[-59.9686, -1.38435, -962.5]","[-59.6268, -1.38381, -957.5]","[-51.2824, -1.40289, -822.5]","[-50.9935, -1.37835, -817.5]","[-43.8371, -1.36864, -702.5]","[-43.5443, -1.36276, -697.5]","[-37.6373, -1.28194, -602.5]","[-37.3429, -1.27782, -598.0]","[-37.3288, -1.25007, -597.5]",,,,
5,6.079882174377492e+17,"[-94.0551, -0.154956, -1502.5]","[-93.761, -0.11896, -1497.5]","[-81.7133, 0.264665, -1302.5]","[-81.3897, 0.261573, -1297.5]","[-69.2654, 0.542168, -1102.5]","[-68.9545, 0.541274, -1097.5]","[-60.5304, 0.677928, -962.5]","[-60.1963, 0.700103, -957.5]","[-51.763, 0.766082, -822.5]","[-51.4455, 0.763726, -817.5]","[-44.2301, 0.757078, -702.5]","[-43.9102, 0.772536, -697.5]","[-37.9703, 0.798344, -602.5]","[-37.9322, 0.750835, -602.0]","[-37.6672, 0.782746, -597.5]",,,,
6,3.017461228361482e+17,"[-84.057, -14.1637, -1502.5]","[-83.7775, -14.1215, -1498.0]","[-72.8673, -12.4806, -1302.5]","[-72.6163, -12.4201, -1298.0]","[-61.6626, -10.7461, -1102.5]","[-61.4007, -10.7045, -1098.0]","[-53.8629, -9.48026, -962.5]","[-53.6032, -9.44952, -958.0]","[-46.0631, -8.21439, -822.5]","[-45.8174, -8.14594, -818.0]","[-39.4164, -7.08943, -702.5]","[-39.1393, -7.05688, -698.0]","[-33.8687, -6.15127, -602.5]","[-33.6091, -6.08913, -598.0]",,,,,
7,1.756427906491351e+17,"[-71.7104, -0.653349, -1502.5]","[-71.4904, -0.617836, -1497.5]","[-62.3939, -0.0204289, -1302.5]","[-62.1696, 0.00277601, -1297.5]","[-53.0055, 0.417521, -1102.5]","[-52.7706, 0.416619, -1097.5]","[-46.3689, 0.689064, -962.5]","[-46.1469, 0.697794, -957.5]","[-39.7447, 0.909466, -822.5]","[-39.7408, 0.927944, -822.0]","[-39.5271, 0.929123, -817.5]","[-34.041, 1.05743, -702.5]","[-34.0421, 1.05101, -702.0]","[-33.8163, 1.08153, -697.5]",,,,,
8,4.2333994552079155e+17,"[-69.3238, -0.866756, -1502.5]","[-69.0647, -0.858896, -1497.5]","[-59.8653, -0.83058, -1297.5]","[-50.933, -0.823697, -1102.5]","[-50.6951, -0.799971, -1097.5]","[-44.505, -0.769191, -962.5]","[-44.2901, -0.802511, -957.5]","[-38.0769, -0.714685, -822.5]","[-37.8775, -0.737702, -818.0]","[-37.8542, -0.757325, -817.5]","[-32.55, -0.680946, -702.5]","[-32.3465, -0.643942, -698.0]","[-32.3161, -0.648636, -697.5]",,,,,,
9,1.1259349537757594e+17,"[-57.6377, -5.9656, -1502.5]","[-57.4512, -5.95116, -1498.0]","[-49.8992, -5.35656, -1302.5]","[-49.7325, -5.33214, -1298.0]","[-42.256, -4.70487, -1102.5]","[-42.0801, -4.67764, -1098.0]","[-42.057, -4.6897, -1097.5]","[-36.8412, -4.22856, -962.5]","[-36.662, -4.19961, -958.0]","[-36.6591, -4.21174, -957.5]","[-31.4473, -3.65359, -822.5]","[-31.2713, -3.67674, -818.0]","[-31.2533, -3.63409, -817.5]",,,,,,
