,particle_id,hit num1,hit num2,hit num3,hit num4,hit num5,hit num6,hit num7,hit num8,hit num9,hit num10,hit num11,hit num12,hit num13,hit num14,hit num15,hit num16,hit num17,hit num18,hit num19
1,5.404676894123622e+16,"[-62.0214, -9.77127, -1502.5]","[-61.8099, -9.72288, -1498.0]","[-53.7966, -8.17102, -1302.5]","[-53.5941, -8.11039, -1298.0]","[-45.5679, -6.62062, -1102.5]","[-45.3902, -6.55217, -1098.0]","[-39.6201, -5.52684, -958.0]","[-33.9942, -4.5562, -822.5]","[-33.7837, -4.537, -818.0]","[-33.7509, -4.54093, -817.5]",,,,,,,,,
2,6.485237064605368e+17,"[-69.6578, -6.66082, -1502.5]","[-82.5295, -6.57045, -1302.5]","[-69.9578, -6.43365, -1102.5]","[-60.9883, -6.07882, -962.5]","[-60.7157, -6.06641, -958.0]","[-52.0521, -5.6263, -822.5]","[-51.7482, -5.6104, -818.0]","[-44.388, -5.12343, -702.5]","[-44.1069, -5.11283, -698.0]","[-37.9913, -4.67016, -602.5]","[-37.7183, -4.65888, -598.0]","[-37.7077, -4.63076, -597.5]",,,,,,,
3,2.1168952345152717e+17,"[-65.9373, -11.6342, -1502.5]","[-65.74, -11.6434, -1498.0]","[-57.0643, -10.3842, -1302.5]","[-56.8616, -10.3346, -1298.0]","[-48.2591, -8.98908, -1102.5]","[-48.0446, -8.98917, -1098.0]","[-42.0778, -7.95089, -962.5]","[-41.88, -7.92054, -958.0]","[-35.9337, -6.91565, -822.5]","[-35.7037, -6.90053, -818.0]","[-35.9174, -6.89483, -822.0]","[-30.6644, -5.9994, -702.5]","[-30.4923, -5.9579, -698.0]","[-30.653, -5.959, -702.0]",,,,,
4,9.007281718113075e+16,"[-78.0206, -9.37532, -1502.5]","[-67.5734, -8.85404, -1302.5]","[-67.3458, -8.83242, -1298.0]","[-57.1287, -8.13233, -1102.5]","[-56.8713, -8.12586, -1098.0]","[-49.8267, -7.55765, -962.5]","[-49.5831, -7.50737, -958.0]","[-42.5434, -6.83398, -822.5]","[-42.3242, -6.79309, -818.0]","[-36.3241, -6.19405, -702.5]","[-36.1033, -6.17372, -698.0]","[-31.1521, -5.53623, -602.5]","[-30.8942, -5.48875, -598.0]","[-30.8923, -5.49846, -597.5]",,,,,
5,4.23339052167594e+17,"[-80.5103, -8.56818, -1502.5]","[-69.6836, -7.76625, -1302.5]","[-58.8847, -6.86621, -1102.5]","[-58.6355, -6.80111, -1098.0]","[-51.3622, -6.12371, -962.5]","[-51.1159, -6.07564, -958.0]","[-43.8637, -5.33294, -822.5]","[-43.6288, -5.30656, -818.0]","[-37.4827, -4.68029, -702.5]","[-37.2288, -4.64422, -698.0]","[-37.203, -4.67048, -697.5]","[-32.1672, -4.11148, -602.5]","[-31.924, -4.09054, -598.0]","[-31.902, -4.08459, -597.5]",,,,,
6,3.377722397955195e+17,"[-94.0275, -8.87969, -1502.5]","[-81.5508, -7.09527, -1302.5]","[-69.079, -5.41156, -1102.5]","[-60.3024, -4.36974, -962.5]","[-51.5219, -3.37778, -822.5]","[-51.2065, -3.36777, -817.5]","[-44.0155, -2.6867, -702.5]","[-43.7226, -2.6552, -698.0]","[-43.7024, -2.65433, -697.5]","[-37.7389, -2.14256, -602.5]","[-37.4413, -2.07276, -598.0]","[-37.4214, -2.09541, -597.5]",,,,,,,
7,3.1525472269500416e+16,"[-63.5244, -12.8988, -1502.5]","[-63.3675, -12.8735, -1498.0]","[-54.9478, -11.4669, -1302.5]","[-54.7495, -11.4216, -1298.0]","[-46.3784, -9.94446, -1102.5]","[-46.1602, -9.8737, -1098.0]","[-40.3731, -8.81982, -962.5]","[-40.1661, -8.79459, -958.0]","[-40.3484, -8.83845, -962.0]","[-34.4278, -7.64976, -822.5]","[-34.2006, -7.6195, -818.0]","[-34.3805, -7.66535, -822.0]",,,,,,,
8,4.143343955334922e+17,"[-76.4609, -10.7071, -1502.5]","[-76.2422, -10.6682, -1498.0]","[-66.2546, -9.75334, -1302.5]","[-66.0362, -9.7091, -1298.0]","[-56.0399, -8.69865, -1102.5]","[-55.8094, -8.69365, -1098.0]","[-48.8582, -7.88267, -962.5]","[-48.6609, -7.85161, -958.0]","[-41.7076, -6.91867, -822.5]","[-41.4885, -6.90096, -818.0]","[-35.5666, -6.08428, -702.5]","[-35.3319, -6.03994, -698.0]","[-30.4391, -5.32965, -602.5]","[-30.2401, -5.2803, -598.0]",,,,,
9,9.052338330229801e+17,"[-61.5213, -0.352996, -1502.5]","[-61.3519, -0.362499, -1497.5]","[-53.3628, -0.061985, -1302.5]","[-53.1628, -0.0540631, -1297.5]","[-45.1808, 0.18071, -1102.5]","[-44.9478, 0.202188, -1097.5]","[-39.3969, 0.284831, -962.5]","[-39.2261, 0.30358, -957.5]","[-33.7034, 0.381841, -822.5]","[-33.6812, 0.347314, -822.0]","[-33.4786, 0.352792, -817.5]",,,,,,,,
10,4.143431916265144e+17,"[-61.6695, -2.77208, -1502.5]","[-61.4842, -2.75951, -1497.5]","[-53.4745, -2.22742, -1302.5]","[-53.2589, -2.20315, -1297.5]","[-45.2194, -1.7282, -1102.5]","[-45.0376, -1.69662, -1097.5]","[-39.4799, -1.42696, -962.5]","[-39.2842, -1.38396, -958.0]","[-39.2589, -1.39909, -957.5]","[-33.7002, -1.12255, -822.5]","[-33.5032, -1.1273, -818.0]","[-33.4803, -1.10156, -817.5]",,,,,,,
