,particle_id,hit num1,hit num2,hit num3,hit num4,hit num5,hit num6,hit num7,hit num8,hit num9,hit num10,hit num11,hit num12,hit num13,hit num14,hit num15,hit num16,hit num17,hit num18,hit num19
0,3.8731815788845466e+17,"[-56.1138, -9.5571, -1502.5]","[-55.9508, -9.55034, -1498.0]","[-48.618, -8.01423, -1302.5]","[-48.4538, -8.00757, -1298.0]","[-41.0592, -6.55482, -1102.5]","[-40.8905, -6.50029, -1098.0]","[-35.8143, -5.55207, -962.5]","[-35.6243, -5.54453, -958.0]","[-35.6356, -5.54616, -957.5]","[-30.5461, -4.63591, -822.5]","[-30.4009, -4.59901, -818.0]",,,,,,,,
1,2.9273631224129126e+17,"[-56.8289, -1.1874, -1502.5]","[-56.6207, -1.18624, -1497.5]","[-49.2715, -1.14432, -1302.5]","[-49.0594, -1.17948, -1297.5]","[-41.7072, -1.1007, -1102.5]","[-41.4941, -1.12287, -1097.5]","[-36.4154, -1.03531, -962.5]","[-36.2373, -1.06382, -958.0]","[-36.2398, -1.03485, -957.5]","[-31.1167, -0.96938, -822.5]","[-30.9368, -0.973962, -818.0]","[-30.9294, -0.951243, -817.5]",,,,,,,
2,4.728949345846559e+17,"[-87.6406, -11.8878, -1502.5]","[-76.1369, -9.4277, -1302.5]","[-64.6367, -7.36905, -1102.5]","[-64.3582, -7.30086, -1098.0]","[-56.6127, -6.08554, -962.5]","[-56.3902, -6.03341, -958.0]","[-48.6404, -4.86121, -822.5]","[-48.4001, -4.858, -818.0]","[-41.7095, -3.95969, -702.5]","[-41.4427, -3.959, -698.0]","[-41.3973, -3.93915, -697.5]","[-35.8725, -3.24954, -602.5]","[-35.6026, -3.22539, -598.0]","[-35.5673, -3.24442, -597.5]",,,,,
3,6.845601313414185e+17,"[-96.3652, -6.60609, -1502.5]","[-83.6762, -4.90528, -1302.5]","[-70.93, -3.40058, -1102.5]","[-62.0334, -2.44964, -962.5]","[-61.7371, -2.38853, -957.5]","[-53.1251, -1.64823, -822.5]","[-52.8193, -1.63589, -817.5]","[-45.4606, -1.14533, -702.5]","[-45.1587, -1.08523, -697.5]","[-39.0902, -0.744279, -602.5]","[-38.7993, -0.753331, -598.0]","[-38.7554, -0.736558, -597.5]",,,,,,,
4,1.1259115891536691e+17,"[-66.3204, -13.2192, -1502.5]","[-66.1293, -13.1766, -1498.0]","[-57.3288, -12.0423, -1302.5]","[-57.1426, -11.9961, -1298.0]","[-48.4058, -10.6557, -1102.5]","[-48.175, -10.6145, -1098.0]","[-42.1687, -9.66331, -962.5]","[-41.9871, -9.64313, -958.0]","[-42.1481, -9.63805, -962.0]","[-35.9952, -8.52543, -822.5]","[-35.7911, -8.46414, -818.0]","[-35.9861, -8.49276, -822.0]","[-30.715, -7.50801, -702.5]","[-30.482, -7.44662, -698.0]","[-30.6801, -7.48559, -702.0]",,,,
5,7.566058369098711e+17,"[-66.1939, -6.93991, -1502.5]","[-57.4566, -5.39964, -1302.5]","[-57.2868, -5.39748, -1298.0]","[-48.7557, -4.11301, -1102.5]","[-48.5322, -4.06698, -1098.0]","[-48.4979, -4.08248, -1097.5]","[-42.6148, -3.27862, -962.5]","[-42.4186, -3.26771, -958.0]","[-42.3957, -3.25871, -957.5]","[-36.4099, -2.53951, -822.5]","[-36.2386, -2.50392, -818.0]","[-36.1853, -2.49362, -817.5]","[-31.1504, -1.97512, -702.5]","[-30.9766, -1.96052, -698.0]","[-30.9517, -1.95257, -697.5]",,,,
7,1.801604777692365e+16,"[-58.6036, -0.424293, -1502.5]","[-58.4242, -0.442454, -1497.5]","[-50.8158, -0.162461, -1302.5]","[-50.615, -0.154267, -1297.5]","[-43.0497, 0.0976569, -1102.5]","[-42.8258, 0.085338, -1097.5]","[-37.5868, 0.226674, -962.5]","[-37.3832, 0.208699, -957.5]","[-32.116, 0.256, -822.5]","[-32.1038, 0.277134, -822.0]","[-31.9607, 0.283478, -817.5]",,,,,,,,
8,5.584530883026616e+17,"[-68.4848, -11.283, -1502.5]","[-68.2757, -11.2238, -1498.0]","[-59.2748, -10.2573, -1302.5]","[-59.0581, -10.2449, -1298.0]","[-50.1136, -9.08487, -1102.5]","[-49.8907, -9.07242, -1098.0]","[-43.701, -8.17895, -962.5]","[-43.5125, -8.10828, -958.0]","[-37.3426, -7.17699, -822.5]","[-37.1263, -7.13923, -818.0]","[-37.3286, -7.15466, -822.0]","[-31.8824, -6.29588, -702.5]","[-31.6956, -6.24679, -698.0]","[-31.8641, -6.24417, -702.0]",,,,,
9,5.134155802004685e+17,"[-86.0508, -12.0135, -1502.5]","[-85.7947, -11.9845, -1498.0]","[-74.5289, -10.8058, -1302.5]","[-74.2865, -10.7643, -1298.0]","[-63.1183, -9.45635, -1102.5]","[-62.8519, -9.45884, -1098.0]","[-55.0707, -8.47191, -962.5]","[-54.8249, -8.45729, -958.0]","[-47.0793, -7.44174, -822.5]","[-46.8049, -7.40603, -818.0]","[-40.2171, -6.50043, -702.5]","[-39.9686, -6.48467, -698.0]","[-34.5067, -5.69994, -602.5]","[-34.2555, -5.62726, -598.0]","[-34.2337, -5.65649, -597.5]",,,,
10,6.71069123668607e+17,"[-97.8154, -5.91775, -1502.5]","[-84.3839, -6.16469, -1302.5]","[-70.9867, -6.26387, -1102.5]","[-61.6231, -6.2291, -962.5]","[-61.3147, -6.24361, -958.0]","[-52.2634, -6.14448, -822.5]","[-51.9597, -6.17537, -818.0]","[-44.2613, -6.01625, -702.5]","[-43.9484, -6.05176, -698.0]","[-37.5861, -5.89213, -602.5]","[-37.2769, -5.88985, -598.0]",,,,,,,,
