,particle_id,hit num1,hit num2,hit num3,hit num4,hit num5,hit num6,hit num7,hit num8,hit num9,hit num10,hit num11,hit num12,hit num13,hit num14,hit num15,hit num16,hit num17,hit num18,hit num19
0,5.314284668814623e+17,"[-56.268, -10.5222, -1502.5]","[-56.1353, -10.4688, -1498.0]","[-48.8421, -8.75142, -1302.5]","[-48.685, -8.73153, -1298.0]","[-41.3867, -7.09403, -1102.5]","[-41.223, -7.04291, -1098.0]","[-36.1403, -6.07927, -962.5]","[-35.9685, -6.03853, -958.0]","[-30.9111, -5.01572, -822.5]","[-30.7462, -4.99044, -818.0]","[-30.7385, -4.97863, -817.5]",,,,,,,,
1,3.602955980515574e+17,"[-70.4211, -10.5828, -1502.5]","[-70.1911, -10.5523, -1498.0]","[-61.0636, -8.89341, -1302.5]","[-60.8583, -8.82594, -1298.0]","[-51.6685, -7.25121, -1102.5]","[-51.4724, -7.24107, -1098.0]","[-45.0946, -6.18214, -962.5]","[-44.9016, -6.17776, -958.0]","[-38.5168, -5.16291, -822.5]","[-38.273, -5.152, -818.0]","[-38.2555, -5.13935, -817.5]","[-32.8244, -4.36383, -702.5]","[-32.6234, -4.30986, -698.0]","[-32.6059, -4.33012, -697.5]",,,,,
2,4.503637423082701e+17,"[-96.056, -12.5, -1502.5]","[-83.2287, -10.5912, -1302.5]","[-70.3902, -8.82496, -1102.5]","[-70.1058, -8.78356, -1098.0]","[-61.4032, -7.58955, -962.5]","[-61.114, -7.55039, -958.0]","[-52.3559, -6.40254, -822.5]","[-52.0887, -6.36062, -818.0]","[-44.6024, -5.39108, -702.5]","[-44.3294, -5.37192, -698.0]","[-38.1674, -4.58371, -602.5]","[-37.8541, -4.53723, -598.0]","[-37.812, -4.52224, -597.5]",,,,,,
3,1.3063613759199642e+17,"[-91.6031, -6.48208, -1502.5]","[-79.5681, -5.48475, -1302.5]","[-67.5077, -4.58573, -1102.5]","[-59.0923, -3.97358, -962.5]","[-50.669, -3.46111, -822.5]","[-50.3653, -3.43397, -817.5]","[-43.47, -3.045, -702.5]","[-43.1754, -3.00665, -698.0]","[-43.1651, -2.99754, -697.5]","[-37.466, -2.72294, -602.5]","[-37.1801, -2.67854, -598.0]","[-37.1582, -2.66782, -597.5]",,,,,,,
4,4.999030633314386e+17,"[-59.416, -8.46282, -1502.5]","[-59.2575, -8.49305, -1498.0]","[-51.3915, -7.68081, -1302.5]","[-51.1916, -7.68786, -1298.0]","[-43.3574, -6.74758, -1102.5]","[-43.1826, -6.74205, -1098.0]","[-37.7746, -6.05743, -962.5]","[-37.6081, -6.07222, -958.0]","[-32.2413, -5.32102, -822.5]","[-32.0931, -5.31381, -818.0]","[-32.0596, -5.27589, -817.5]",,,,,,,,
5,8.286643930204733e+17,"[-63.3287, -1.04694, -1502.5]","[-63.1009, -1.07748, -1497.5]","[-54.8333, -1.38143, -1302.5]","[-54.6059, -1.39497, -1297.5]","[-46.3391, -1.51539, -1102.5]","[-46.1347, -1.50997, -1097.5]","[-40.4933, -1.55687, -962.5]","[-40.2921, -1.52309, -958.0]","[-40.284, -1.51904, -957.5]","[-34.63, -1.49665, -822.5]","[-34.4527, -1.50952, -818.0]","[-34.4128, -1.47956, -817.5]",,,,,,,
7,1.4861933745904026e+17,"[-56.4911, -7.63076, -1502.5]","[-56.2966, -7.62795, -1498.0]","[-49.0602, -6.29362, -1302.5]","[-48.8779, -6.25825, -1298.0]","[-41.5762, -5.10276, -1102.5]","[-41.4047, -5.08113, -1098.0]","[-41.4076, -5.04174, -1097.5]","[-36.3286, -4.28853, -962.5]","[-36.1583, -4.28436, -958.0]","[-36.1544, -4.25146, -957.5]","[-31.081, -3.5746, -822.5]","[-30.9001, -3.5362, -818.0]","[-30.9051, -3.51104, -817.5]",,,,,,
8,7.926357334404628e+17,"[-58.2089, -12.33, -1502.5]","[-58.0079, -12.3067, -1498.0]","[-50.5841, -10.2755, -1302.5]","[-50.4089, -10.2252, -1298.0]","[-42.9554, -8.27074, -1102.5]","[-42.7784, -8.23906, -1098.0]","[-37.5762, -6.99475, -962.5]","[-37.3716, -6.94101, -958.0]","[-32.0916, -5.81079, -822.5]","[-31.9334, -5.73825, -818.0]","[-31.9267, -5.73775, -817.5]",,,,,,,,
9,3.287678580393247e+17,"[-84.4797, -4.01558, -1502.5]","[-73.4354, -2.39406, -1302.5]","[-73.1542, -2.39276, -1297.5]","[-62.3676, -1.07161, -1102.5]","[-62.0798, -1.00738, -1097.5]","[-54.4686, -0.349635, -962.5]","[-54.1831, -0.324841, -957.5]","[-46.5535, 0.223144, -822.5]","[-46.2383, 0.253595, -817.5]","[-39.7569, 0.557426, -702.5]","[-39.4741, 0.573874, -697.5]","[-34.1296, 0.74953, -602.5]","[-34.0932, 0.754744, -602.0]","[-33.8437, 0.732607, -597.5]",,,,,
10,5.5845405037533594e+17,"[-63.9019, -3.8004, -1502.5]","[-55.3716, -3.93153, -1302.5]","[-55.1464, -3.96048, -1297.5]","[-46.8009, -3.85885, -1102.5]","[-46.6141, -3.86361, -1098.0]","[-46.5982, -3.83076, -1097.5]","[-40.7771, -3.6857, -962.5]","[-40.5793, -3.70028, -958.0]","[-40.5688, -3.70343, -957.5]","[-34.7573, -3.4627, -822.5]","[-34.5677, -3.43972, -818.0]","[-34.5658, -3.42355, -817.5]",,,,,,,
