,particle_id,hit num1,hit num2,hit num3,hit num4,hit num5,hit num6,hit num7,hit num8,hit num9,hit num10,hit num11,hit num12,hit num13,hit num14,hit num15,hit num16,hit num17,hit num18,hit num19
0,6.305069714888458e+17,"[-85.5803, 1.36466, -1502.5]","[-85.3123, 1.32261, -1497.5]","[-74.2235, 0.151961, -1302.5]","[-73.9523, 0.127627, -1297.5]","[-62.8476, -0.708145, -1102.5]","[-62.5688, -0.768278, -1097.5]","[-54.8969, -1.18582, -962.5]","[-54.5902, -1.19559, -957.5]","[-46.9292, -1.51168, -822.5]","[-46.6599, -1.51879, -817.5]","[-40.1522, -1.58979, -702.5]","[-39.9289, -1.59015, -698.0]","[-39.8954, -1.59978, -697.5]","[-34.2708, -1.62013, -598.0]","[-34.2563, -1.64234, -597.5]",,,,
2,7.430966872952013e+17,"[-58.2306, 3.71774, -1502.5]","[-58.0425, 3.69034, -1497.5]","[-50.4982, 2.97212, -1302.5]","[-50.3118, 2.98161, -1297.5]","[-42.7698, 2.27634, -1102.5]","[-42.7543, 2.31989, -1102.0]","[-42.5811, 2.27288, -1097.5]","[-37.3237, 1.90248, -962.5]","[-37.3122, 1.88751, -962.0]","[-37.1377, 1.89463, -957.5]","[-31.9062, 1.52637, -822.5]","[-31.906, 1.51517, -822.0]","[-31.6944, 1.51639, -817.5]",,,,,,
3,6.305117818522173e+17,"[-95.4027, -11.1446, -1502.5]","[-82.4804, -10.7796, -1302.5]","[-69.6753, -10.0226, -1102.5]","[-69.3757, -10.0154, -1098.0]","[-60.703, -9.31642, -962.5]","[-60.4112, -9.28423, -958.0]","[-51.7544, -8.46169, -822.5]","[-51.4774, -8.42495, -818.0]","[-44.1358, -7.61131, -702.5]","[-43.8267, -7.56517, -698.0]","[-37.8226, -6.81353, -602.5]","[-37.5277, -6.7728, -598.0]",,,,,,,
4,4.68384669168042e+17,"[-89.5545, -8.53464, -1502.5]","[-77.3766, -8.62248, -1302.5]","[-65.3669, -8.12868, -1102.5]","[-65.0816, -8.143, -1098.0]","[-57.0558, -7.62505, -962.5]","[-56.7692, -7.58715, -958.0]","[-48.8125, -6.97629, -822.5]","[-48.5397, -6.94835, -818.0]","[-41.8066, -6.3246, -702.5]","[-41.5191, -6.29128, -698.0]","[-35.9384, -5.66215, -602.5]","[-35.6557, -5.6549, -598.0]",,,,,,,
5,4.50473349873664e+16,"[-81.366, -7.73274, -1502.5]","[-70.6761, -7.34282, -1302.5]","[-59.99, -6.70242, -1102.5]","[-59.7565, -6.71028, -1098.0]","[-52.4665, -6.21062, -962.5]","[-52.2181, -6.18599, -958.0]","[-44.7018, -5.56417, -818.0]","[-38.4764, -4.95911, -702.5]","[-38.2564, -4.94233, -698.0]","[-38.219, -4.94161, -697.5]","[-33.1009, -4.43574, -602.5]","[-32.863, -4.41881, -598.0]","[-32.838, -4.41216, -597.5]",,,,,,
6,7.566215049505669e+17,"[-58.3639, -7.02583, -1502.5]","[-58.1826, -7.0009, -1498.0]","[-50.5497, -6.41085, -1302.5]","[-50.4008, -6.36676, -1298.0]","[-42.7708, -5.59801, -1102.5]","[-42.5613, -5.5645, -1098.0]","[-37.287, -5.01597, -962.5]","[-37.1144, -4.97838, -957.5]","[-31.8633, -4.38849, -822.5]","[-31.7092, -4.39891, -818.0]","[-31.7047, -4.35089, -817.5]",,,,,,,,
7,6.845494111030477e+17,"[-68.74, -11.1527, -1502.5]","[-68.5295, -11.1304, -1498.0]","[-59.6177, -9.28116, -1302.5]","[-59.3963, -9.24626, -1298.0]","[-50.4861, -7.55939, -1102.5]","[-50.3048, -7.52638, -1098.0]","[-44.0701, -6.45259, -962.5]","[-43.8667, -6.39209, -958.0]","[-37.656, -5.34594, -822.5]","[-37.4403, -5.31204, -818.0]","[-37.4222, -5.30524, -817.5]","[-32.1397, -4.4604, -702.5]","[-31.9492, -4.4051, -698.0]","[-31.9226, -4.43405, -697.5]",,,,,
8,1.0358670843969536e+17,"[-93.0876, -7.20077, -1502.5]","[-80.5619, -7.16791, -1302.5]","[-67.9777, -6.82952, -1102.5]","[-59.2118, -6.34025, -962.5]","[-58.9164, -6.35432, -958.0]","[-50.4846, -5.80387, -822.5]","[-50.2094, -5.75517, -818.0]","[-42.9704, -5.21248, -702.5]","[-42.7049, -5.1876, -698.0]","[-36.7498, -4.67276, -602.5]","[-36.4828, -4.61937, -598.0]","[-36.4662, -4.62816, -597.5]",,,,,,,
9,6.169933551081882e+17,"[-57.2337, -11.0997, -1502.5]","[-57.0876, -11.0573, -1498.0]","[-49.5579, -9.69315, -1302.5]","[-49.3967, -9.62229, -1298.0]","[-41.9421, -8.24114, -1102.5]","[-41.7553, -8.19912, -1098.0]","[-36.5643, -7.21605, -962.5]","[-36.3798, -7.21709, -958.0]","[-36.5738, -7.22086, -962.0]","[-31.2134, -6.19307, -822.5]","[-31.0706, -6.19958, -818.0]","[-31.2159, -6.19216, -822.0]",,,,,,,
10,2.47702996027179e+17,"[-30.7757, 1.86612, -1502.5]","[-30.7969, 1.86596, -1502.0]","[-30.9901, 1.86219, -1497.5]","[-39.5668, 1.72595, -1302.5]","[-39.6087, 1.71897, -1302.0]","[-39.8008, 1.75314, -1297.5]","[-48.3757, 1.68468, -1102.5]","[-42.6127, 1.68684, -962.5]","[-42.628, 1.67252, -962.0]","[-42.4038, 1.65707, -957.5]","[-36.4551, 1.61976, -822.5]","[-36.422, 1.62237, -822.0]","[-36.2184, 1.62166, -817.5]","[-31.1407, 1.48631, -702.5]","[-31.1327, 1.48378, -702.0]","[-30.9352, 1.45664, -697.5]",,,
