,particle_id,hit num1,hit num2,hit num3,hit num4,hit num5,hit num6,hit num7,hit num8,hit num9,hit num10,hit num11,hit num12,hit num13,hit num14,hit num15,hit num16,hit num17,hit num18,hit num19
0,6.124921606625034e+17,"[-60.1691, -0.798271, -1502.5]","[-59.9736, -0.771908, -1497.5]","[-52.1942, -0.571869, -1302.5]","[-52.0001, -0.546806, -1297.5]","[-44.2298, -0.346298, -1102.5]","[-44.0305, -0.371551, -1097.5]","[-38.6208, -0.255946, -962.5]","[-38.4332, -0.227121, -957.5]","[-33.0457, -0.118102, -822.5]","[-32.8695, -0.152439, -818.0]","[-32.841, -0.14878, -817.5]",,,,,,,,
1,8.827075198294426e+17,"[-82.9237, -5.14698, -1502.5]","[-72.0358, -3.68823, -1302.5]","[-61.0762, -2.42446, -1102.5]","[-60.7799, -2.41371, -1097.5]","[-53.3263, -1.71422, -962.5]","[-53.0475, -1.66808, -957.5]","[-45.6069, -1.10669, -822.5]","[-45.327, -1.07199, -817.5]","[-39.0381, -0.690019, -702.5]","[-38.7639, -0.635581, -697.5]","[-33.6105, -0.363171, -602.5]","[-33.3631, -0.373786, -598.0]","[-33.3527, -0.359281, -597.5]",,,,,,
2,6.665339818014147e+17,"[-54.7691, 2.03414, -1502.5]","[-55.0173, 2.04792, -1497.5]","[-64.6413, 2.0095, -1302.5]","[-64.6639, 2.00465, -1297.5]","[-54.9894, 1.96664, -1102.5]","[-54.7388, 1.9351, -1097.5]","[-48.0371, 1.81164, -962.5]","[-47.7939, 1.83051, -957.5]","[-41.0887, 1.70648, -822.5]","[-41.0578, 1.70692, -822.0]","[-40.8219, 1.68304, -817.5]","[-35.0965, 1.56396, -702.5]","[-35.0777, 1.55673, -702.0]","[-34.8503, 1.56415, -697.5]",,,,,
3,4.773836908050514e+17,"[-75.9713, -5.30199, -1502.5]","[-66.0003, -3.66462, -1302.5]","[-56.0057, -2.32633, -1102.5]","[-55.7498, -2.30803, -1097.5]","[-48.907, -1.56703, -962.5]","[-48.6751, -1.56081, -957.5]","[-41.838, -0.960531, -822.5]","[-41.5945, -0.964505, -817.5]","[-35.7778, -0.533738, -702.5]","[-35.5532, -0.539649, -698.0]","[-30.7452, -0.187823, -602.5]","[-30.4847, -0.183763, -597.5]",,,,,,,
4,5.314413174236119e+17,"[-65.7472, -10.4657, -1502.5]","[-65.5457, -10.4141, -1498.0]","[-57.1492, -8.13395, -1302.5]","[-56.9377, -8.09037, -1298.0]","[-48.4266, -6.14345, -1102.5]","[-48.2177, -6.09973, -1098.0]","[-42.3391, -4.91203, -962.5]","[-42.1428, -4.89838, -958.0]","[-42.1287, -4.88467, -957.5]","[-36.1879, -3.92637, -822.5]","[-35.9749, -3.88038, -818.0]","[-35.9548, -3.86594, -817.5]","[-30.8398, -3.05408, -702.5]","[-30.6653, -3.06846, -698.0]","[-30.6416, -3.03023, -697.5]",,,,
5,9.142419256309187e+17,"[-85.6797, -3.10693, -1502.5]","[-74.1734, -3.05399, -1302.5]","[-62.731, -2.90578, -1102.5]","[-62.4532, -2.88387, -1097.5]","[-54.7368, -2.67785, -962.5]","[-54.4236, -2.66318, -957.5]","[-46.7425, -2.44993, -822.5]","[-46.4501, -2.43808, -817.5]","[-39.8815, -2.16073, -702.5]","[-39.6256, -2.18581, -698.0]","[-39.6021, -2.17456, -697.5]","[-34.1982, -1.96421, -602.5]","[-33.9414, -1.95241, -598.0]","[-33.9232, -1.91934, -597.5]",,,,,
6,3.918147481291981e+17,"[-57.4266, -11.5161, -1502.5]","[-57.2299, -11.4514, -1498.0]","[-49.7132, -9.15367, -1302.5]","[-49.5251, -9.08749, -1298.0]","[-42.0401, -6.99499, -1102.5]","[-41.883, -6.94426, -1098.0]","[-36.7274, -5.67409, -962.5]","[-36.5228, -5.65739, -958.0]","[-31.399, -4.55257, -822.5]","[-31.2487, -4.49403, -818.0]","[-31.2079, -4.4903, -817.5]",,,,,,,,
7,1.1259328921914573e+17,"[-56.2467, 2.16862, -1502.5]","[-56.0774, 2.13135, -1497.5]","[-48.6265, 1.41417, -1302.5]","[-48.4068, 1.3772, -1297.5]","[-41.0035, 0.810402, -1102.5]","[-40.7901, 0.827909, -1097.5]","[-35.7441, 0.472006, -962.5]","[-35.686, 0.468675, -962.0]","[-35.5574, 0.466239, -957.5]","[-30.5301, 0.180189, -822.5]","[-30.3344, 0.155492, -817.5]",,,,,,,,
8,5.584520575105106e+17,"[-53.9197, -8.6321, -1502.5]","[-53.7586, -8.56125, -1498.0]","[-46.9059, -6.82624, -1302.5]","[-46.7146, -6.8187, -1298.0]","[-39.8065, -5.26441, -1102.5]","[-39.6355, -5.222, -1098.0]","[-39.6171, -5.23281, -1097.5]","[-34.8028, -4.31891, -962.5]","[-34.6545, -4.28327, -958.0]","[-34.6325, -4.27093, -957.5]",,,,,,,,,
9,7.295911798127985e+17,"[-90.5081, -6.99775, -1502.5]","[-78.3513, -6.64285, -1302.5]","[-66.2006, -6.13796, -1102.5]","[-57.7121, -5.62036, -962.5]","[-57.4119, -5.63318, -958.0]","[-49.2459, -5.05437, -822.5]","[-48.9901, -5.05107, -818.0]","[-42.0081, -4.53489, -702.5]","[-41.7752, -4.50162, -698.0]","[-41.7153, -4.51598, -697.5]","[-36.039, -4.01496, -602.5]","[-35.7674, -3.98483, -598.0]","[-35.7383, -3.98328, -597.5]",,,,,,
