,particle_id,hit num1,hit num2,hit num3,hit num4,hit num5,hit num6,hit num7,hit num8,hit num9,hit num10,hit num11,hit num12,hit num13,hit num14,hit num15,hit num16,hit num17,hit num18,hit num19
0,6.485274860317573e+17,"[-69.691, -9.82317, -1502.5]","[-69.4813, -9.81632, -1498.0]","[-60.2662, -9.13158, -1302.5]","[-60.0519, -9.09514, -1298.0]","[-50.9132, -8.24502, -1102.5]","[-50.7234, -8.19249, -1098.0]","[-44.4318, -7.434, -962.5]","[-44.2583, -7.41167, -958.0]","[-37.9505, -6.62298, -822.5]","[-37.7501, -6.5691, -818.0]","[-32.4264, -5.83714, -702.5]","[-32.2069, -5.8039, -698.0]","[-32.215, -5.81537, -697.5]",,,,,,
1,3.242729170660229e+17,"[-78.1122, -13.9466, -1502.5]","[-77.8635, -13.9369, -1498.0]","[-67.6286, -12.3692, -1302.5]","[-67.425, -12.3565, -1298.0]","[-57.2051, -10.7464, -1102.5]","[-56.944, -10.7144, -1098.0]","[-49.8954, -9.56925, -962.5]","[-49.6505, -9.52896, -958.0]","[-42.615, -8.2941, -822.5]","[-42.3803, -8.24633, -818.0]","[-36.3815, -7.20166, -702.5]","[-36.161, -7.16457, -698.0]","[-36.3732, -7.19186, -702.0]","[-31.2141, -6.24327, -602.5]","[-31.0159, -6.18645, -598.0]","[-31.1968, -6.23835, -602.0]",,,
2,2.1169158503582925e+17,"[-48.0897, -8.27358, -1502.5]","[-47.925, -8.24056, -1498.0]","[-40.6133, -7.78548, -1302.5]","[-40.5941, -7.74958, -1302.0]",,,,,,,,,,,,,,,
4,9.682759814689587e+17,"[-95.8917, -0.249342, -1502.5]","[-95.5905, -0.22575, -1497.5]","[-83.0748, 0.358129, -1302.5]","[-82.7827, 0.371202, -1297.5]","[-70.3259, 0.809787, -1102.5]","[-70.0046, 0.820025, -1097.5]","[-61.4029, 1.0105, -962.5]","[-61.0739, 1.01995, -957.5]","[-52.3836, 1.11848, -822.5]","[-52.0777, 1.1144, -817.5]","[-44.714, 1.17038, -702.5]","[-44.4175, 1.16354, -697.5]","[-38.3382, 1.17063, -602.5]","[-38.2913, 1.18265, -602.0]","[-38.0416, 1.1633, -597.5]",,,,
5,8.691996758848307e+17,"[-70.1793, -7.20341, -1502.5]","[-61.2137, -5.69533, -1302.5]","[-52.136, -4.17842, -1102.5]","[-51.8863, -4.12005, -1097.5]","[-45.6616, -3.3178, -962.5]","[-45.4809, -3.28301, -958.0]","[-45.4435, -3.26962, -957.5]","[-39.1772, -2.50654, -822.5]","[-38.9611, -2.48905, -818.0]","[-38.9488, -2.47675, -817.5]","[-33.5813, -1.91567, -702.5]","[-33.3673, -1.91742, -698.0]","[-33.3187, -1.91675, -697.5]",,,,,,
6,8.241625113800212e+17,"[-91.4769, -14.0455, -1502.5]","[-91.2102, -14.0046, -1498.0]","[-79.27, -12.3826, -1302.5]","[-78.9947, -12.3574, -1298.0]","[-67.0291, -10.6669, -1102.5]","[-66.7647, -10.6553, -1098.0]","[-58.4906, -9.44323, -962.5]","[-58.1927, -9.36867, -958.0]","[-49.9077, -8.11573, -822.5]","[-49.6491, -8.08885, -818.0]","[-42.5809, -6.9874, -702.5]","[-42.2892, -6.93894, -698.0]","[-36.4717, -6.0552, -602.5]","[-36.2106, -5.99382, -598.0]",,,,,
7,1.4412164770666906e+17,"[-62.98, -12.5049, -1502.5]","[-62.7695, -12.4729, -1498.0]","[-54.5381, -10.9377, -1302.5]","[-54.3507, -10.9145, -1298.0]","[-46.1083, -9.2712, -1102.5]","[-45.9275, -9.25219, -1098.0]","[-40.2257, -8.15621, -962.5]","[-40.2142, -8.13344, -962.0]","[-34.3633, -6.99267, -822.5]","[-34.1364, -6.93562, -818.0]","[-34.2983, -6.98187, -822.0]",,,,,,,,
8,5.089068953318195e+17,"[-66.1353, -12.7031, -1502.5]","[-65.908, -12.6607, -1498.0]","[-57.3458, -11.1085, -1302.5]","[-57.1475, -11.0717, -1298.0]","[-48.5563, -9.51402, -1102.5]","[-48.358, -9.47577, -1098.0]","[-42.4125, -8.37848, -962.5]","[-42.2148, -8.30944, -958.0]","[-36.2693, -7.19283, -822.5]","[-36.0444, -7.18801, -818.0]","[-36.235, -7.18876, -822.0]","[-30.9858, -6.2184, -702.5]","[-30.7854, -6.18254, -698.0]","[-30.9698, -6.19845, -702.0]",,,,,
9,3.738070154089595e+17,"[-90.0193, -11.7741, -1502.5]","[-77.8288, -11.1658, -1302.5]","[-77.5546, -11.1375, -1298.0]","[-65.6584, -10.1578, -1102.5]","[-65.3491, -10.1612, -1098.0]","[-57.0906, -9.33305, -962.5]","[-56.8216, -9.29661, -958.0]","[-48.5905, -8.36315, -822.5]","[-48.3174, -8.33477, -818.0]","[-41.3319, -7.39065, -702.5]","[-41.0866, -7.37011, -698.0]","[-35.3631, -6.51966, -602.5]","[-35.1057, -6.49986, -598.0]",,,,,,
10,7.746322613277819e+17,"[-61.4657, 1.80803, -1502.5]","[-61.2393, 1.78529, -1497.5]","[-53.1922, 1.35577, -1302.5]","[-52.9804, 1.33591, -1297.5]","[-45.0269, 0.945141, -1102.5]","[-44.8269, 0.944989, -1097.5]","[-39.264, 0.746684, -962.5]","[-39.0902, 0.744279, -957.5]","[-33.5453, 0.494588, -822.5]","[-33.5338, 0.51762, -822.0]","[-33.3547, 0.493504, -817.5]",,,,,,,,
11,3.557887686087803e+17,"[-65.6311, -10.5067, -1502.5]","[-65.4432, -10.4923, -1498.0]","[-56.7926, -9.35975, -1302.5]","[-56.5795, -9.34132, -1298.0]","[-47.9854, -8.16506, -1102.5]","[-47.7821, -8.15484, -1098.0]","[-41.8075, -7.27761, -962.5]","[-41.6372, -7.2452, -958.0]","[-35.6916, -6.34489, -822.5]","[-35.5039, -6.28694, -818.0]","[-30.4233, -5.47887, -702.5]","[-30.2366, -5.48516, -698.0]",,,,,,,
12,4.9539994474040525e+17,"[-81.438, -12.5532, -1502.5]","[-81.1582, -12.5169, -1498.0]","[-70.7015, -10.6049, -1302.5]","[-70.4518, -10.5635, -1298.0]","[-59.905, -8.70192, -1102.5]","[-59.6521, -8.69063, -1098.0]","[-52.3296, -7.45371, -962.5]","[-52.1077, -7.39359, -958.0]","[-44.7503, -6.25535, -822.5]","[-44.5501, -6.19621, -818.0]","[-38.2554, -5.24265, -702.5]","[-38.0106, -5.24327, -698.0]","[-37.9791, -5.21126, -697.5]","[-32.8166, -4.46352, -602.5]","[-32.5426, -4.44474, -598.0]","[-32.5477, -4.435, -597.5]",,,
13,7.746295812681892e+17,"[-82.1831, 1.93295, -1502.5]","[-81.9333, 1.9093, -1497.5]","[-71.3644, 2.23269, -1302.5]","[-71.0763, 2.25854, -1297.5]","[-60.4003, 2.39342, -1102.5]","[-60.1222, 2.35798, -1097.5]","[-52.706, 2.34697, -962.5]","[-52.4036, 2.34376, -957.5]","[-44.9895, 2.25211, -822.5]","[-44.9682, 2.28579, -822.0]","[-44.7259, 2.2641, -817.5]","[-38.4127, 2.1177, -702.5]","[-38.4061, 2.15013, -702.0]","[-38.1535, 2.12504, -697.5]","[-32.9823, 1.94323, -602.5]","[-32.9532, 1.97227, -602.0]","[-32.7132, 1.94765, -597.5]",,
