,particle_id,hit num1,hit num2,hit num3,hit num4,hit num5,hit num6,hit num7,hit num8,hit num9,hit num10,hit num11,hit num12,hit num13,hit num14,hit num15,hit num16,hit num17,hit num18,hit num19
1,2.252576343772365e+16,"[-55.3361, 0.635342, -1502.5]","[-55.1622, 0.604841, -1497.5]","[-47.9755, 0.311848, -1302.5]","[-47.8123, 0.327322, -1297.5]","[-40.6228, 0.0880464, -1102.5]","[-40.4388, 0.0980977, -1097.5]","[-35.4806, -0.00879969, -962.5]","[-35.3301, -0.0232938, -958.0]","[-35.3123, -0.00443987, -957.5]","[-30.3337, -0.105277, -822.5]",,,,,,,,,
2,2.972377128454062e+17,"[-96.1091, -8.24103, -1502.5]","[-83.8716, -5.57267, -1302.5]","[-71.5763, -3.35114, -1102.5]","[-62.7456, -2.00414, -962.5]","[-62.4347, -1.93239, -957.5]","[-53.8568, -0.953498, -822.5]","[-53.5184, -0.928854, -817.5]","[-46.0661, -0.2902, -702.5]","[-45.7589, -0.285674, -697.5]","[-39.5455, 0.022362, -602.5]","[-39.2136, 0.0518227, -597.5]",,,,,,,,
3,4.188357961376072e+17,"[-62.6736, -9.3712, -1502.5]","[-62.4736, -9.36801, -1498.0]","[-54.1617, -8.55084, -1302.5]","[-53.9891, -8.56516, -1298.0]","[-45.7137, -7.6352, -1102.5]","[-45.514, -7.61032, -1098.0]","[-39.8453, -6.92257, -962.5]","[-39.656, -6.8724, -958.0]","[-34.012, -6.11239, -822.5]","[-33.8164, -6.08747, -818.0]",,,,,,,,,
4,1.0808769672694989e+17,"[-57.0687, -8.17777, -1502.5]","[-56.9143, -8.18761, -1498.0]","[-49.448, -7.42754, -1302.5]","[-49.2563, -7.42892, -1298.0]","[-41.7911, -6.57416, -1102.5]","[-41.6249, -6.57376, -1098.0]","[-36.4235, -5.9511, -962.5]","[-36.2887, -5.90971, -958.0]","[-31.124, -5.23309, -822.5]","[-30.9642, -5.19704, -818.0]","[-30.9597, -5.212, -817.5]",,,,,,,,
5,9.682861519515156e+17,"[-73.8723, -2.5789, -1502.5]","[-73.5995, -2.55834, -1497.5]","[-64.0984, -1.80968, -1302.5]","[-63.8327, -1.77221, -1297.5]","[-54.2937, -1.13834, -1102.5]","[-54.0699, -1.13623, -1097.5]","[-47.4406, -0.749454, -962.5]","[-47.1797, -0.725557, -957.5]","[-40.5275, -0.405999, -822.5]","[-40.3059, -0.363755, -817.5]","[-34.6198, -0.191829, -702.5]","[-34.4134, -0.163148, -698.0]","[-34.3669, -0.179158, -697.5]",,,,,,
6,9.547664195374285e+17,"[-63.8535, -10.8684, -1502.5]","[-63.679, -10.8401, -1498.0]","[-55.241, -9.63887, -1302.5]","[-55.045, -9.58996, -1298.0]","[-46.616, -8.35822, -1102.5]","[-46.4251, -8.29182, -1098.0]","[-40.6551, -7.38753, -962.5]","[-40.4499, -7.37152, -958.0]","[-34.642, -6.36259, -822.5]","[-34.4494, -6.34229, -818.0]",,,,,,,,,
7,7.070727693590856e+17,"[-97.2548, -10.8891, -1502.5]","[-84.5388, -8.28337, -1302.5]","[-71.7354, -6.07201, -1102.5]","[-62.7659, -4.61378, -962.5]","[-53.8148, -3.35761, -822.5]","[-53.498, -3.28773, -817.5]","[-46.0096, -2.4424, -702.5]","[-45.7127, -2.39581, -697.5]","[-39.4643, -1.72666, -602.5]","[-39.1478, -1.71116, -598.0]","[-39.117, -1.71119, -597.5]",,,,,,,,
8,6.755495648323174e+16,"[-90.2929, -3.26937, -1502.5]","[-78.4004, -1.68141, -1302.5]","[-78.0985, -1.65255, -1297.5]","[-66.4796, -0.442294, -1102.5]","[-66.1561, -0.38564, -1097.5]","[-58.1064, 0.21669, -962.5]","[-57.8046, 0.2611, -957.5]","[-49.6051, 0.735298, -822.5]","[-49.3029, 0.745557, -817.5]","[-42.3429, 1.00592, -702.5]","[-42.0584, 1.02803, -697.5]","[-36.3637, 1.17556, -602.5]","[-36.3233, 1.18732, -602.0]","[-36.0634, 1.15807, -597.5]",,,,,
9,2.7472053934227456e+17,"[-59.183, -0.670508, -1502.5]","[-59.0046, -0.64755, -1497.5]","[-51.1158, -0.0647014, -1297.5]","[-43.3497, 0.32482, -1102.5]","[-43.1827, 0.364196, -1097.5]","[-37.8385, 0.557942, -962.5]","[-37.8171, 0.568954, -962.0]","[-37.6362, 0.579687, -957.5]","[-32.3511, 0.739041, -822.5]","[-32.3232, 0.741179, -822.0]","[-32.1497, 0.749744, -817.5]",,,,,,,,
10,6.306159605789491e+16,"[-72.534, 2.64219, -1502.5]","[-72.2903, 2.60487, -1497.5]","[-62.8676, 1.6977, -1302.5]","[-62.6335, 1.69439, -1297.5]","[-53.2169, 0.952586, -1102.5]","[-52.9992, 0.936154, -1097.5]","[-46.4693, 0.5307, -962.5]","[-46.2186, 0.502824, -957.5]","[-39.7255, 0.158659, -822.5]","[-39.4738, 0.172608, -817.5]","[-33.8947, -0.0846101, -702.5]","[-33.6936, -0.0931844, -698.0]","[-33.644, -0.0855866, -697.5]",,,,,,
